cv,sp,pv
1000,10000,8009
1000,10000,8009
1000,10000,8009
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
